<<<<<<< HEAD
abandon   v.Å×Æú£¬·ÅÆú
bacon   n.ÏÌÈâ£¬Ñ¬Èâ
bacterium   n.Ï¸¾ú
bad   adj.»µµÄ£¬µÍÁÓµÄ
badge   n.»ÕÕÂ
badly   adv.»µ£¬·Ç³££¬ÑÏÖØµØ
badminton   n.ÓðÃ«Çò
baffle   v.À§ÈÅ£¬ÄÑµ¹
bag   n.´ü×Ó£¬Ìá°ü
baggage   n.ÐÐÀî
baggy   adj.´ü×´µÄ
bait   n.¶ü£¬ÓÕ¶ü
bake   v.¿¾£¬ºæ
baker   n.Ãæ°üÊ¦
bakery   n.Ãæ°üµê
balance   n.Æ½ºâ£¬ÌìÆ½£¬Óà¶î
balcony   n.ÑôÌ¨
bald   adj.ÍºµÄ
ball   n.Çò£¬Çò×´Îï£¬Îè»á
ballet   n.°ÅÀÙÎè
balloon   n.ÆøÇò
ballooning   n.ÈÈÆøÇò·ÉÐÐÔË¶¯
ball-point pen   n.Ô²Öé±Ê
ballroom   n.ÎèÌü
bamboo   n.Öñ
bamboo-shoot   n.ÖñËñ
banana   n.Ïã½¶
band   n.ÀÖ¶Ó£¬´ø×Ó v.ÁªºÏ
bandage   n.±Á´ø
bandit   n.µÁ·Ë£¬´õÍ½
bang   n.,v.ÅéµÄÒ»Ïì
bank   n.°¶£¬ÒøÐÐ
banker   n.ÒøÐÐ¼Ò
banking   n.ÒøÐÐÒµÎñ¡¢½ðÈÚÒµ
bankrupt   n.,v.,adj.ÆÆ²ú
banner   n.ÆìÖÄ£¬ºá·ù
banquet   n.Ñç»á
bar   n.°ô£¬¸Ë£¬¾Æ°É
barber   n.Àí·¢Ê¦
bare   adj.ÂãµÄ£¬Ö±ÂÊµÄ
barely   adv.³àÂãÂãµØ
bargain   n.½»Ò×£¬±ãÒË»õ
barge   n.²µ´¬
bark   n.¹··Í£¬Ê÷Æ¤ v.·Í
barn   n.¹È²Ö£¬Éü¿ÚÅï
barometer   n.ÇçÓê±í£¬±ê¼Ç
baron   n.ÄÐ¾ô
baroness   n.ÄÐ¾ô·òÈË£¬Å®ÄÐ¾ô
barrel   n.Í°£¬Ç¹(ÅÚ)¹Ü
barren   adj.²»ÓýµÄ£¬Æ¶ñ¤µÄ
barrier   n.ÕÏ°­£¬±ÚÀÝ
barter   n.Ò×»õÃ³Ò×
base   n.»ù´¡£¬»ùµØ v.»ùÓÚ
baseball   n.°ôÇò
basement   n.µØÏÂÊÒ£¬µØ½Ñ
basic   adj.»ù±¾µÄ£¬»ù´¡µÄ
basically   adv.»ù±¾ÉÏ£¬Ö÷ÒªµØ
basin   n.Åè£¬ÅèµØ
basis   n.»ù´¡£¬¸ù¾Ý
basket   n.Àº×Ó£¬¿ð
basketball   n.ÀºÇò
bat   n.ÇòÅÄ£¬òùòð v.»÷´ò
bath   n.Ï´Ôè£¬Ô¡ÊÒ
bathe   v.Ï´Ôè£¬³åÏ´
bathroom   n.Ô¡ÊÒ£¬Ï´ÊÖ¼ä
batter   v.´ò»÷
battery   n.µç³Ø
battle   n.Õ½¶·£¬Õ½ÒÛ
bay   n.º£Íå£¬Íå
bazaar   n.¼¯ÊÐ
be   v.ÊÇ£¬´æÔÚ
beach   n.º£Ì²£¬ºþ±õ
bead   n.ÓÐ¿×Ð¡Öé
beak   n.Äñ×ì
beam   n.Áº£¬ÉäÏß v.·¢¹â
bean   n.¶¹×Ó
bear   v.¸ºµ££¬ÈÌÊÜ£¬ÉúÓý
bearing   n.¾ÙÖ¹£¬ÒâÒå£¬Öá³Ð
bearish   adj.ÐÜÊÐµÄ
beast   n.Ò°ÊÞ£¬ÉüÐó
beat   v.´ò£¬»÷°Ü n.»÷´ò
beautiful   adj.ÃÀÀöµÄ£¬¾øÃîµÄ
beauty   n.ÃÀ£¬ÃÀÅ®
because   conj.ÒòÎª£¬ÓÉÓÚ
become   v.±ä³É
bed   n.´²£¬ºÓ´²£¬ÃçÆÔ
bedroom   n.ÎÔÊÒ
bee   n.ÃÛ·ä
beef   n.Å£Èâ
beer   n.Æ¡¾Æ
beetle   n.¼×³æ
before   prep.ÔÚ...Ç°Ãæ
beforehand   adv.ÊÂÏÈ£¬Ô¤ÏÈ
beg   v.ÆòÌÖ£¬¿ÒÇó
beggar   n.ÆòØ¤
begin   v.¿ªÊ¼£¬×ÅÊÖ½øÐÐ
beginner   n.³õÑ§Õß
beginning   n.¿ª¶Ë£¬Æðµã
behalf   n.´ú±í
behave   v.ÐÐÎª£¬¾Ù¶¯
behavior   n.ÐÐÎª£¬¾ÙÖ¹
behind   prep.ÔÚ...ºóÃæ
behindhand   adj.Âäºó£¬ÊÂºó
being   n.ÉúÎï£¬´æÔÚ
belief   n.ÐÅÑö£¬ÐÅÐÄ
believe   v.ÏàÐÅ£¬ÈÏÎª
bell   n.ÖÓ£¬Áå
belly   n.¶Ç×Ó
belong   v.ÊôÓÚ
beloved   adj.¾´°®µÄ n.°®ÈË
below   adj.,prep.ÔÚ...ÏÂÃæ
belt   n.´ø£¬Ñü´ø
bench   n.³¤µÊ£¬¹¤×÷Ì¨
bend   v.ÍäÇú£¬¸©Éí n.¹ÕÍä
beneath   prep.ÔÚ...Ö®ÏÂ
beneficial   adj.ÓÐÒæµÄ£¬ÓÐÀûµÄ
beneficiary   n.ÊÜÒæÕß
benefit   n.Òæ´¦£¬ÀûÒæ
benevolence   n.´È±¯£¬¾èÖú
benevolent   adj.ÀÖÉÆºÃÊ©µÄ
bent   adj.ÍäÇúµÄ
berry   n.½¬¹û
beside   prep.ÔÚ...Ö®ÅÔ
besides   adj.¶øÇÒ prep...Ö®Íâ
best   adj.×îºÃµÄ
best-seller   n.³©ÏúÊé(»õ)
best-selling   adj.³©ÏúµÄ
bestow   v.Ôù¸ø£¬ÊÚÓè
bet   n.,v.´ò¶Ä
betray   v.±³ÅÑ£¬Ð¹Â¶
betrayal   n.±³ÅÑ£¬±©Â¶
better   adj.¸üºÃµÄ adv.½ÏºÃ
better-off   adj.¾­¼ÃÇé¿ö½ÏºÃµÄ
between   prep.ÔÚÁ½ÕßÖ®¼ä
beverage   n.ÒûÁÏ
beware   v.µ±ÐÄ
bewilder   v.ÃÔ»ó£¬Ã£È»
beyond   prep.ÔÚ...ÄÇ±ß£¬³¬³ö
bias   n.Æ«ºÃ
bible   n.Ê¥¾­
bicycle   n.×ÔÐÐ³µ
bid   n.,v.±¨¼Û£¬Í¶±ê
bidding   n.Í¶±ê
big   adj.´óµÄ£¬ÖØ´óµÄ
bike   n.×ÔÐÐ³µ
bill   n.ÕÊµ¥£¬Òé°¸£¬³®Æ±
billion   n.Ê®ÒÚ
bind   v.À¦°ó£¬Ô¼Êø
binding   n.×°¶©
biographer   n.´«¼Ç¼ÇÕß
biography   n.´«¼Ç
biologist   n.ÉúÎïÑ§¼Ò
biology   n.ÉúÎïÑ§
bird   n.Äñ
birth   n.³öÉú£¬´´Ê¼
birthday   n.ÉúÈÕ£¬µ®³½
birthplace   n.³öÉúµØ
biscuit   n.±ý¸É
bishop   n.Ö÷½Ì
bit   n.Ð¡Æ¬£¬Ò»µã
bite   n.,v.Ò§£¬¶£ n.Ò»¿Ú
bitter   adj.¿àµÄ£¬Í´¿àµÄ
bitterly   adv.²ÒÍ´µØ£¬ÐÁËáµØ
bitterness   n.¿àÎ¶£¬¿àÄÑ
b/l   n.(Ëõ)Ìáµ¥
black   adj.ºÚµÄ n.ºÚÉ«
blackboard   n.ºÚ°å
blacksmith   n.Ìú½³
blade   n.µ¶ÈÐ£¬Ò¶Æ¬
blame   v.Ôð±¸ n.¹ýÊ§
blank   adj.¿Õ°×µÄ n.¿Õ¸ñ
blanket   n.Ã«Ìº
blast   n.Õó·ç v.±¬Õ¨
blaze   n.»ð¹â£¬¹âÁÁ
bleach   v.Æ¯°×£¬±ä°×
bleed   v.³öÑª£¬Á÷Ñª
blend   v.»ìºÏ£¬²ô»ì
bless   v.±£ÓÓ£¬×£¸£
blessing   n.×£¸£
blind   adj.Ï¹µÄ v.Ê¹Ê§Ã÷
blink   adj.Õ£ÑÛ£¬ÉÁË¸
block   n.´ó¿é£¬½ÖÇø£¬ÕÏ°­Îï
blockage   n.·âËø
blond   adj.½ð·¢µÄ
blood   n.Ñª£¬ÑªÍ³
bloody   adj.Á÷ÑªµÄ£¬²ÐÈÌµÄ
bloom   n.»¨ v.¿ª»¨
blossom   n.(¹ûÊ÷µÄ)»¨
blot   n.ÎÛ¼£
blouse   n.Å®ÉÀ
blow   v.´µ£¬´µµô£¬¹Î·ç
blue   adj.À¶É«µÄ£¬ÓÇÓôµÄ
blunder   n.´ó´í
blunt   adj.¶ÛµÄ£¬ÉúÓ²µÄ
blush   v.Á³ºì£¬º¦ëý
blushy   adj.º¦ÐßµÄ
board   n.Ä¾°å£¬»ïÊ³£¬¶­ÊÂ»á
boarding   n.»ïÊ³
boast   v.¿ä¿Ú£¬ÒÔ...¶ø×ÔºÀ
boat   n.Ð¡´¬£¬Í§
body   n.ÉíÌå£¬Ê¬Ìå£¬ÍÅÌå
bodyguard   n.±£ïÚ
boil   v.·ÐÌÚ£¬Öó·Ð
boiler   n.¹øÂ¯
boiling   adj.·ÐÌÚµÄ
bold   adj.´óµ¨µÄ
boldness   n.µ¨ÂÔ
bolt   n.ÂÝ¼ì£¬²åÏú v.ãÅÃÅ
bomb   n.Õ¨µ¯ v.ºäÕ¨
bomber   n.ºäÕ¨»ú
bona fide   adj.Õæ³ÏµÄ£¬ÎÞÆÛµÄ
bond   n.Êø¸¿£¬Áª½á£¬Õ®È¯
bonded   adj.±£Ë°µÄ
bone   n.¹Ç£¬¹Ç÷À
bony   adj.¹ÇÍ·µÄ
bonus   n.ºìÀû
book   n.Êé v.Ô¤¶©(Æ±)
booking   adj.¶¨»õ
booklet   n.Ð¡²á×Ó
bookcase   n.Êé³÷
bookshelf   n.Êé¼Ü
bookstore   n.Êéµê
boom   v.Â¡Â¡Ïì£¬ÐËÍú£¬·±ÈÙ
booming   adj.ÐËÍúµÄ£¬·±ÈÙµÄ
boost   v.Ì§¸ß£¬´Ù½ø
boot   n.Ñ¥×Ó
booth   n.»õÌ¯£¬µç»°Í¤
border   n.¹ú½ç£¬±ß¾³
bore   v.·³ÈÅ£¬Ê¹Ñá·³£¬×ê¿×
boring   adj.ÌÖÑáµÄ
born   adj.³öÉúµÄ£¬ÌìÉúµÄ
borrow   v.½è£¬½èÓÃ
borrowings   n.½è¿î
bosom   n.ÐØ£¬ÐØ»³
boss   n.ÉÏË¾£¬ÀÏ°å
bossy   adj.ºÃ·¢ºÅÊ©ÁîµÄ
both   pron.,adj.Ë«·½£¬Á½
bother   v.´òÈÅ£¬Âé·³ n.Âé·³
bottle   n.Æ¿×Ó
bottle-neck   n.Ó°Ïì...µÄ»·½Ú
bottom   n.µ×²¿£¬Ä©Î²
bottom-line   n.Ä©ÐÐÊý×Ö£¬½á¹û
bough   n.´óÊ÷Ö¦
bounce   v.ÌøÆð n.ÌøÔ¾
bound   v.¸¿£¬ÒÔ...Îª½ç
boundary   n.½çÏß£¬±ß½ç
bourgeois   n.×Ê²ú½×¼¶·Ö×Ó
bow   v.¾Ï¹ª£¬·þ´Ó n.¹­
bowl   n.Íë£¬²§
bowling   n.±£ÁäÇò
box   n.Ïä£¬ºÐ v.È­»÷
boxer   n.È­»÷ÔË¶¯Ô±
boxing   n.È­»÷
boxing-day   n.½ÚÀñÈÕ
boy   n.ÄÐº¢£¬Ð¡»ï×Ó
boycott   v.,n.µÖÖÆ
brace   n.Ö§³Å v.¼¤Àø
bracket   n.À¨ºÅ
brag   v.´µÐê£¬¿ä¿Ú
brain   n.ÄÔ×Ó£¬Í·ÄÔ£¬ÖÇÄÜ
brake   n. ÖÆ¶¯Æ÷ v.É²³µ
branch   n.Ê÷Ö¦£¬·ÖÖ§£¬·Ö²¿
brand   n.ÅÆ×Ó£¬ÉÌ±ê
brandy   n.°×À¼µØ
brass   n.»ÆÍ­
brave   adj.ÓÂ¸ÒµÄ v.Ã°×Å
bravely   adv.ÓÂ¸ÒµØ
bravery   n.ÓÂ¸Ò
brazil   n.°ÍÎ÷
brazilian   adj.,n.°ÍÎ÷µÄ(ÈË)
breach   n.Î¥·´(ÆõÔ¼)
bread   n.Ãæ°ü£¬Éú¼Æ
bread-earner   n.ÕõÇ®Ñø¼ÒµÄÈË
breadth   n.¿í¶È£¬´óÁ¿
break   n.´òÆÆ£¬ÆÆ»µ n.ÁÑ¿Ú
breakage   n.ÁÑ¿Ú
breakdown   n.¹ÊÕÏ£¬Ë¥½ß
breakthrough   n.Í»ÆÆ
breakfast   n.Ôç·¹
breast   n.Èé·¿£¬ÐØ¸¬
breath   n.ºôÎü£¬ÆøÏ¢
breathe   v.ºôÎü
breed   v.·±Ö³£¬ËÇÑø n.Æ·ÖÖ
breeze   n.Î¢·ç
bribe   v.»ßÂ¸
bribery   v.»ßÂ¸
brick   n.×©
bride   n.ÐÂÄï
bridegroom   n.ÐÂÀÉ
bridge   n.ÇÅÁº£¬ÇÅÅÆ
bridle   n.Ô¼Êø v.ÒÖÖÆ
brief   adj.¼ò¶ÌµÄ
briefing   n.¼òÒªÇé¿ö
briefly   adv.¼òµ¥µØ£¬¼ò¶ÌµØ
bright   adj.Ã÷ÁÁµÄ£¬ÏÊÃ÷µÄ
brighten   v.Ê¹·¢¹â
brightness   n.¹â»Ô£¬Ã÷ÁÁ
brilliance   n.»Ô»Í£¬¹â²Ê
brilliant   v.»Ô»ÍµÄ£¬½Ü³öµÄ
brim   n.±ß£¬±ßÔµ
bring   v.ÄÃÀ´£¬´øÀ´
brink   n.±ßÔµ
brisk   adj.Ãô½ÝµÄ£¬»îÔ¾µÄ
bristle   n.××Ã«
britain   n.²»ÁÐµß£¬Ó¢¹ú
british   adj.Ó¢¹úµÄ£¬Ó¢ÊôµÄ
brittle   adj.Ò×ËéµÄ£¬´àµÄ
broad   adj.¿íµÄ£¬ÁÉÀ«µÄ
broadcast   v.,n.¹ã²¥
broadcasting   n.¹ã²¥½ÚÄ¿
broaden   v.¼Ó¿í£¬À©´ó
brochure   n.²úÆ·½éÉÜÊÖ²á
broken   adj.ÆÆËéµÄ£¬»Ù»µÁËµÄ
broker   n.¾­¼ÍÈË
bronze   n.ÇàÍ­
brood   n.Ò»ÎÑ
brook   n.Ð¡ºÓ£¬ÏªÁ÷
broom   n.É¨Öã
brother   n.ÐÖµÜ£¬Í¬°û
brotherhood   n.ÐÖµÜÇéÒê
brother-in-law   n.ÒöÐÖ(µÜ)
brow   n.Ã¼Ã«£¬¶î
brown   n.,adj.ºÖÉ«(µÄ)
bruise   n.ÇàÖ× v.´òÉË
brush   n.Ë¢×Ó£¬»­±Ê v.Ë¢
brutal   adj.Ò°ÂùµÄ
brute   n.ÇÝÊÞ£¬ÐóÉú
bubble   n.ÆøÅÝ
bucket   n.Ë®Í°
bud   n.Ñ¿£¬ÝíÀÙ
buddhism   n.·ð½Ì
buddhist   n.·ð½ÌÍ½
budget   n.Ô¤Ëã
buffalo   n.Ë®Å££¬Ò°Å£
buffet   n.Àä²Í
bug   n.³ô³æ£¬³æ×Ó
bugle   n.À®°È
build   v.½¨Ôì£¬½¨Éè
builder   n.½¨Öþ¹¤ÈË£¬½¨ÉèÕß
building   n.½¨ÖþÎï£¬´óÂ¥
bulb   n.ÇòÐÎÎï£¬µÆÅÝ
bulk   n.Ìå»ý£¬´ó°ë
bulky   adj.ÅÓ´óµÄ£¬±¿ÖØµÄ
bull   n.¹«Å£
bullet   n.×Óµ¯
bulletin   n.¹«±¨
bullion   n.½ð¿é£¬½ðÌõ
bullish   adj.ÐÐÇé¿´ÕÇµÄ
bump   v.Åö£¬µßô¤ n.Åö×²
bumpy   adj.µßô¤²»Æ½µÄ
bunch   n.Ò»Êø
bundle   n.,v.À¦£¬°ü
burden   n.µ£×Ó£¬¸ºµ£
burdensome   adj.³ÁÖØµÄ
bureau   n.¾Ö£¬Ë¾£¬°ì¹«ÊÒ
bureaucracy   n.¹ÙÁÅÖ÷Òå
bureaucratic   adj.¹ÙÁÅÖ÷ÒåµÄ
burglar   n.Ò¹µÁ£¬ÇÔÔô
burglary   n.µÁÇÔ
burial   n.ÂñÔá
burn   v.ÉÕ£¬È¼ÉÕ£¬ÉÕÉË
burner   n.ÅçµÆ
burnt   adj.ÉÕ½¹µÄ£¬ÉÕ»µµÄ
burst   v.,n.±¬Õ¨£¬ÆÆÁÑ
bury   v.ÑÚÂñ£¬°²Ôá
bus   n.¹«¹²Æû³µ
bush   n.¹àÄ¾
bushel   n.ÆÑÊ½¶ú(ÖØÁ¿µ¥Î»)
business   n.ÐÐÒµ£¬ÂòÂô£¬ÉÌºÅ
businesslike   adj.ÊÂÎñÊ½µÄ
busy   adj.Ã¦ÂµµÄ£¬ÈÈÄÖµÄ
but   prep.µ«ÊÇ£¬³ýÁË
butcher   n.ÍÀ·ò v.ÍÀÔ×
butchery   n.ÈâÊ³µê
butt   n.¸ù¶Ë v.¶¥×²
butter   n.»ÆÓÍ
butterfly   n.ºûµû
button   n.Å¥¿Û£¬°´Å¥
buy   v.Âò£¬¹ºÂò
buyer   n.¹ºÂòÕß
buzz   v.ÎËÎË½Ð n.ÎËÎËÉù
by   prep.ÔÚ...ÅÔ±ß£¬°´ÕÕ
bygone   n.ÒÑÍùµÄ£¬¹ýÊ±µÄ
bypass   n.ÅÔµÀ£¬·ÖÂ·
by-product   n.¸±²úÆ· 
cab   n.³ö×âÆû³µ
cabbage   n.¾íÐÄ²Ë£»Ô²°×²Ë
cabin   n.Ð¡ÎÝ£¬´¬²Õ
cabinet   n.³÷¹ñ£¬ÄÚ¸ó
cable   n.µçÀÂ£¬º£µ×µç±¨
cafe   n.¿§·È¹Ý
cafeteria   n.×ÔÖú²ÍÌü
cage   n.Áý×Ó£¬ÄñÁý
cake   n.¸â£¬±ý
calculate   v.¼ÆËã£¬¹À¼Æ
calculation   n.¼ÆËã(½á¹û)
calculus   n.Î¢»ý·Ö
calendar   n.ÈÕÀú
calf   n.Ð¡Å££¬ÍÈ¶Ç×Ó
calibration   n.¿Ì¶È£¬ºË¶¨
call   v.½Ð£¬³ÆÎª£¬´òµç»°
calm   adj.Äþ¾²µÄ£¬Õò¾²µÄ
calmly   adv.Æ½¾²µØ£¬³Á×ÅµØ
calorie   n.ÈÈ¿¨£¬¿¨Â·Àï
camel   n.ÂæÍÕ
camera   n.ÕÕÏà»ú
camp   n.ÕÊÅñ£¬Ò°Óª n.ËÞÓª
campaign   n.Õ½ÒÛ£¬ÔË¶¯
camping   n.Ò°Óª
campus   n.Ð£Ô°
can   v.aux.ÄÜ£¬»á£¬¿ÉÒÔ
canada   n.¼ÓÄÃ´ó
canadian   adj.,n.¼ÓÄÃ´óµÄ(ÈË)
canal   n.ÔËºÓ£¬ÇþµÀ
canary   n.½ðË¿È¸
cancel   v.É¾³ý£¬È¡Ïû
cancellation   n.É¾³ý£¬È¡Ïû
cancer   n.°©
candid   adj.Ì¹°×µÄ£¬Ö±ÂÊµÄ
candidate   n.ºòÑ¡ÈË
candle   n.À¯Öò
candy   n.ÌÇ¹û
cane   n.ÊÖÕÈ£¬(ÌÙ¡¢ÖñµÄ)¾¥
canned   adj.¹Þ×°µÄ
cannon   n.´óÅÚ
canoe   n.¶ÀÄ¾ÖÛ£¬ÓÎÍ§
canon   n.¹æ·¶£¬×¼Ôò
canteen   n.Ê³ÌÃ
canvas   n.·«²¼£¬»­²¼
canvass   v.ÓÎËµ
cap   n.Ã±×Ó£¬¸Ç×Ó v.¸²¸Ç
capability   n.²ÅÄÜ£¬ÄÜÁ¦
capable   adj.ÓÐÄÜÁ¦µÄ
capacity   n.ÈÝÁ¿£¬ÈÝ»ý£¬×Ê¸ñ
cape   n.Åû¼ç£¬áµ£¬º£½Ç
capita   n.ÈË
capital   n.Ê×¶¼£¬×Ê±¾
capital-intensive   adj.×Ê±¾ÃÜ¼¯ÐÍµÄ
capitalism   n.×Ê±¾Ö÷Òå
capitalist   adj.×Ê±¾Ö÷ÒåµÄ
capitalization   n.×Ê±¾»¯
capitalize   v.´óÐ´£¬×Ê±¾»¯
captain   n.¶Ó³¤£¬´¬³¤£¬ÉÏÎ¾
caption   n.±êÌâ
captive   adj.±»·ýÂ²µÄ n.·ýÂ²
capture   v.,n.·ý»ñ£¬×½ÄÃ
car   n.Ð¡Æû³µ
caravan   n.³µ¶Ó£¬´óÅî³µ
carbon   n.Ì¼£¬¸´Ð´Ö½
card   n.¿¨Æ¬£¬Ö½ÅÆ£¬ÃûÆ¬
cardboard   n.Ó²Ö½°å
cardinal   adj.Ö÷ÒªµÄ
care   n.×¢Òâ£¬Ð¡ÐÄ v.¹ØÐÄ
career   n.Ö°Òµ£¬ÉúÑÄ
careful   adj.Ð¡ÐÄµÄ£¬×ÐÏ¸µÄ
careless   adj.´ÖÐÄµÄ£¬²»¹ØÐÄµÄ
carelessness   n.´ÖÐÄ
cargo   n.»õÎï
carol   n.ËÌ¸è
carpenter   n.Ä¾½³
carpet   n.µØÌº
carriage   n.Âí³µ£¬(»ð³µ)³µÏá
carrier   n.ÔËÔØ¹¤¾ß£¬Ã½½é
carrot   n.ºúÂÜ²·
carry   v.°áÔË£¬Ð¯´ø
cart   n.ÊÖÍÆ³µ
carton   n.Ö½Ïä
cartoon   n.Âþ»­£¬¶¯»­Æ¬
cartridge   n.µ¯²Ö
carve   v.µñ¿Ì£¬ÇÐ
carving   n.µñËÜ
case   n.ÊÂÊµ£¬°¸Àý£¬Ïä×Ó
cash   n.ÏÖ½ð v.¶ÒÏÖ
cashier   n.³öÄÉ
cassette   n.Ð¡ºÐ£¬´ÅÅÌºÐ
cast   v.ÖÀ£¬Í¶Éä£¬ÖýÔì
castle   n.³Ç±¤
casual   adj.Å¼È»µÄ£¬Ëæ±ãµÄ
casualty   n.ÉËÍö
cat   n.Ã¨
catalog   n.(ÉÌÆ·)Ä¿Â¼
catastrophe   n.ÔÖÄÑ
catalyst   n.´ß»¯¼Á
catch   v.²¶»ñ£¬È¾²¡ n.×½
category   n.ÖÖÀà£¬·¶³ë
cater   v.Ìá¹©
cathedral   n.´ó½ÌÌÃ
catholic   adj.ÌìÖ÷½ÌµÄ
cattle   n.Å£(×Ü³Æ)
cause   n.Ô­Òò£¬ÀíÓÉ£¬ÊÂÒµ
caution   n.½÷É÷£¬¸æ½ë
cautious   adj.½÷É÷µÄ£¬µ±ÐÄµÄ
cavalry   n.Æï±ø£¬ÂíÊõ
cave   n.¶´Ñ¨£¬É½¶´
cavern   n.¾Æ¹Ý
cavity   n.¿Ó£¬¿×Ñ¨
cease   v.Í£Ö¹£¬Æ½Ï¢
ceiling   n.Ìì»¨°å
celebrate   v.Çì×£
celebration   n.Çì×£ÒÇÊ½
celery   n.ÇÛ²Ë
cell   n.Ï¸°û£¬ÀÎ·¿£¬µç³Ø
cellar   n.µØ½Ñ£¬µØÏÂÊÒ
cement   n.Ë®Äà
cemetery   n.Ä¹³¡
censor   v.Éó²é
censorship   n.Éó²é
cent   n.·Ö±Ò
centigrade   adj.ÉãÊÏµÄ
centimeter   n.ÀåÃ×
central   adj.ÖÐÐÄµÄ£¬ÖÐÑëµÄ
center   n.ÖÐÐÄ v.¼¯ÖÐ
century   n.ÊÀ¼Í
cereal   n.¹ÈÎï
ceremonial   adj.ÒÇÊ½µÄ
ceremony   n.ÒÇÊ½£¬µäÀñ£¬Àñ½Ú
certain   adj.È·ÐÅµÄ£¬Ò»¶¨µÄ
certainly   adv.Ò»¶¨£¬µ±È»£¬ÐÐ
certainty   n.È·Êµ£¬±ØÈ»µÄÊÂ
certificate   n.Ö¤Êé£¬Ö´ÕÕ
certification   n.Ö¤Ã÷
certify   v.Ö¤Ã÷
chain   n.Á´Ìõ£¬Ò»ÏµÁÐ£¬ËøÁ´
chair   n.ÒÎ×Ó
chairman   n.Ö÷Ï¯£¬¶­ÊÂ³¤
chairperson   n.Ö÷Ï¯(ÎÞÐÔ±ðÖ®·Ö)
chairwoman   n.Å®Ö÷Ï¯£¬Å®¶­ÊÂ³¤
chalk   n.°×ÛÑ£¬·Û±Ê
challenge   n.,v.ÌôÕ½£¬ÖÊÎÊ
challenging   adj.¾ßÓÐÌôÕ½ÐÔµÄ
chamber   n.·¿¼ä
champion   n.ÓÅÊ¤Õß£¬¹Ú¾ü
championship   n.½õ±ê(Èü)
chance   n.»ú»á£¬¿ÉÄÜÐÔ
change   n.±ä»¯£¬ÁãÇ® v.¸Ä±ä
changeable   adj.±ä»¯µÄ
channel   n.¹µÇþ£¬Í¾¾¶£¬ÆµµÀ
chaos   n.»ìÂÒ
chap   n.»ï¼Æ
chapter   n.ÕÂ£¬½Ú
character   n.ÐÔ¸ñ£¬½ÇÉ«£¬ÌØÉü
characteristic   n.ÌØÕ÷£¬ÌØÐÔ
characteristical   adj....ÌØÕ÷µÄ
characterize   v.¾ßÓÐ...ÌØÕ÷
charcoal   n.Ä¾Ì¿
charge   v.ÊÕ·Ñ£¬³åÏò£¬¿Ø¸æ
charity   n.Ê©Éá£¬ÈÊ´È
charm   n.÷ÈÁ¦ v.ÃÔ»ó
charming   adj.ÃÔÈËµÄ
chart   n.Í¼±í v.ÖÆ¶¨¼Æ»®
charter   n.ÌØÐíÖ¤£¬ÏÜÕÂ
chase   v.×·Öð£¬Çý³ý
chat   v.ÁÄÌì
chatter   v.à©à©²»ÐÝ£¬ßúà±
cheap   adj.±ãÒËµÄ£¬¿É±ÉµÄ
cheat   v.ÆÛÆ­£¬×÷±× n.Æ­×Ó
cheating   n.ÆÛÆ­ÐÐÎª
check   v.¼ìÑé£¬ºË¶Ô n.Ö§Æ±
check-out   n.½áÕÊ£¬ÀëµêÊ±ÏÞ
check-up   n.ºË¶Ô£¬¼ì²é
cheek   n.¼Õ£¬Á³
cheeky   adj.ÅÖºõºõµÄ
cheer   n.ºÈ²Ê v.Ïò...ºÈ²Ê
cheerful   adj.¿ì»îµÄ
cheese   n.¸ÉÀÒ£¬ÄÌÀÒ
chemical   adj.»¯Ñ§µÄ
chemist   n.»¯Ñ§¼Ò£¬Ò©¼ÁÊ¦
chemistry   n.»¯Ñ§
cheque   n.Ö§Æ±
cherish   v.Õä°®£¬»³ÓÐ
cherry   n.Ó£ÌÒ
chess   n.¹ú¼ÊÏóÆå
chest   n.ÐØÌÅ£¬¹ñ×Ó
chestnut   n.ÀõÊ÷£¬Àõ×Ó
chew   v.¾×½À
chick   n.Ð¡¼¦
chicken   n.¼¦£¬¼¦Èâ
chief   adj.Ê×Ï¯µÄ£¬Ê×ÒªµÄ
chiefly   adv.¶à°ë£¬Ê×ÒªµØ
child   n.º¢×Ó£¬¶ùÍ¯
childhood   n.Í¯Äê
childish   adj.º¢×ÓÆøµÄ
childlike   adj.º¢×ÓËÆµÄ£¬ÌìÕæµÄ
chill   n.º®Òâ v.ÀäÈ´
chilly   adj.Á¹µÄ£¬Àäµ­µÄ
chimney   n.ÑÌ´Ñ
chin   n.ÏÂ°Í£¬ÏÂ¼Õ
china   n.ÖÐ¹ú
china   n.´ÉÆ÷£¬ÌÕ´É
chinese   adj.,n.ÖÐ¹úµÄ
chip   n.Æ¬£¬Ð¼£¬È±¿Ú
chocolate   n.ÇÉ¿ËÁ¦
choice   n.Ñ¡Ôñ£¬Ñ¡ÖÐµÄÈË»òÎï
choke   v.ÃÆËÀ£¬ÖÏÏ¢£¬×èÈû
choose   v.Ñ¡Ôñ£¬Ô¸Òâ
chop   v.Åü£¬¶ç n.´ø¹ÇÈâ
chorus   n.ºÏ³ª¶Ó£¬ÆëÉù
christ   n.»ù¶½
christian   adj.»ù¶½½ÌµÄn.»ù¶½Í½
christianity   n.»ù¶½½Ì(¾«Éñ)
christmas   n.Ê¥µ®½Ú
